ALT P T
5.515213e+01 4.222546e-04 2.647760e+02
5.626789e+01 3.666242e-04 2.627007e+02
5.737530e+01 3.183230e-04 2.602415e+02
5.847272e+01 2.763852e-04 2.573935e+02
5.955851e+01 2.399726e-04 2.541104e+02
6.063081e+01 2.083571e-04 2.509273e+02
6.169003e+01 1.809069e-04 2.472746e+02
6.273419e+01 1.570732e-04 2.438629e+02
6.376428e+01 1.363794e-04 2.400156e+02
6.477845e+01 1.184120e-04 2.363246e+02
6.577734e+01 1.028117e-04 2.325941e+02
6.676078e+01 8.926665e-05 2.289278e+02
6.772902e+01 7.750613e-05 2.254976e+02
6.868305e+01 6.729501e-05 2.222499e+02
6.962362e+01 5.842916e-05 2.193798e+02
7.055234e+01 5.073136e-05 2.168530e+02
7.147063e+01 4.404770e-05 2.147449e+02
7.238027e+01 3.824460e-05 2.130950e+02
7.328319e+01 3.320603e-05 2.117433e+02
7.418065e+01 2.883127e-05 2.106358e+02
7.507369e+01 2.503286e-05 2.097063e+02
7.596305e+01 2.173488e-05 2.089084e+02
7.684930e+01 1.887140e-05 2.081929e+02
7.773278e+01 1.638517e-05 2.075887e+02
7.861398e+01 1.422649e-05 2.071219e+02
7.949347e+01 1.235221e-05 2.066369e+02
8.037118e+01 1.072485e-05 2.061319e+02
8.124703e+01 9.311897e-06 2.053584e+02
8.211989e+01 8.085092e-06 2.045617e+02
8.298967e+01 7.019914e-06 2.032942e+02
8.385438e+01 6.095068e-06 2.020082e+02
8.471394e+01 5.292068e-06 2.001326e+02
8.556588e+01 4.594859e-06 1.982893e+02
8.641036e+01 3.989505e-06 1.963657e+02
8.724711e+01 3.463904e-06 1.945711e+02
8.807678e+01 3.007548e-06 1.929412e+02
8.890022e+01 2.611316e-06 1.913853e+02
8.971794e+01 2.267286e-06 1.900287e+02
9.053107e+01 1.968580e-06 1.890916e+02
9.134173e+01 1.709227e-06 1.883185e+02
9.215105e+01 1.484044e-06 1.877411e+02
9.296040e+01 1.288527e-06 1.874018e+02
9.377142e+01 1.118769e-06 1.872375e+02
9.458560e+01 9.713753e-07 1.872456e+02
9.540454e+01 8.434005e-07 1.872994e+02
9.622940e+01 7.322859e-07 1.872410e+02
9.706074e+01 6.358102e-07 1.872139e+02
9.789982e+01 5.520448e-07 1.872717e+02
9.874820e+01 4.793151e-07 1.873841e+02
9.960737e+01 4.161673e-07 1.875518e+02
1.004789e+02 3.613389e-07 1.878916e+02
1.013648e+02 3.137339e-07 1.882703e+02
1.022668e+02 2.724008e-07 1.888994e+02
1.031876e+02 2.365131e-07 1.895947e+02
1.041289e+02 2.053534e-07 1.909469e+02
1.050958e+02 1.782989e-07 1.926239e+02
1.060918e+02 1.548088e-07 1.948611e+02
1.071220e+02 1.344133e-07 1.980535e+02
1.081937e+02 1.167049e-07 2.016506e+02
1.093121e+02 1.013295e-07 2.068257e+02
1.104894e+02 8.797976e-08 2.120204e+02
1.117295e+02 7.638878e-08 2.207872e+02
1.130583e+02 6.632487e-08 2.307257e+02
1.144890e+02 5.758683e-08 2.446609e+02
1.160537e+02 5.000000e-08 2.610782e+02
